Country Name,Country Code,2021 [YR2021] - Gini index [SI.POV.GINI],2021 [YR2021] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2021 [YR2021] - Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","2021 [YR2021] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2021 [YR2021] - Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",2021 [YR2021] - Individuals using the Internet (% of population) [IT.NET.USER.ZS],"2021 [YR2021] - Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",2021 [YR2021] - Population density (people per sq. km of land area) [EN.POP.DNST],2021 [YR2021] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2021 [YR2021] - Population growth (annual %) [SP.POP.GROW],"2021 [YR2021] - Current education expenditure, total (% of total expenditure in public institutions) [SE.XPD.CTOT.ZS]",2021 [YR2021] - Trade (% of GDP) [NE.TRD.GNFS.ZS]
Afghanistan,AFG,..,356.496214115892,37.2700004577637,60.417,5.13320340824962,16.51429939,12.006,61.3286907992579,25.3478620272481,2.35609779179185,..,51.4117163747271
Albania,ALB,..,7242.45513146613,..,76.844,2.04147163139544,79.32371752,11.474,90.8672262773723,57.5077187031778,-1.54312080996395,91.5721435546875,75.5904040905009
Algeria,DZA,..,4160.55926736925,..,75.208,7.22606307415477,72.21240234,13.656,18.7934447084904,73.6199218261573,1.61936460233826,..,46.8370592599607
American Samoa,ASM,..,15236.1604875571,..,72.708,..,..,..,246.125,82.2127091544092,-1.0829920166826,..,136.8
Andorra,AND,..,42425.7066454357,..,82.331,..,93.89749908,..,166.731914893617,88.6627318165299,1.26362889534188,..,..
Angola,AGO,..,2303.90812662776,..,62.958,25.754294884189,34.55649948,15.799,27.6990687414775,68.2524163556969,3.18132259995095,..,61.5262136695806
Antigua and Barbuda,ATG,..,17348.6006987182,..,77.197,2.06299638545334,71.64530182,..,209.884090909091,24.574983819566,0.546161676855974,..,101.074960584779
Argentina,ARG,42.4,10738.0179223384,..,73.948,48.4093786255199,87.15070683,8.736,16.5573305708721,92.0292776175651,0.265879395046274,95.9001770019531,33.078689567466
Armenia,ARM,27.9,4685.17997128509,..,72.2780487804878,7.1848362944337,78.61225758,15.469,105.056940272915,65.3572875314441,0.0270096898904032,95.3711700439453,79.2489057647112
Aruba,ABW,..,26749.3296093118,..,73.655,..,..,..,598.333333333333,61.9275339886843,-0.82021108315363,..,139.917797708768
Australia,AUS,..,60758.9044397144,..,83.3,2.86391284709318,96.97219849,5.022,3.33922844714392,87.2353407632761,0.14089508329287,..,40.2022359390595
Austria,AUT,30.7,53648.6437976214,..,81.190243902439,2.7666666666667,92.52915104,6.459,108.528805138148,68.773601700253,0.435671684056384,92.7644729614258,111.032932124165
Azerbaijan,AZE,..,5408.04535175023,..,70.999,6.65029912708778,85.99998954,6.04,122.658802177858,58.3659969744818,0.441197735816311,90.4439010620117,76.286865687015
"Bahamas, The",BHS,..,30367.8605757708,..,70.752,2.90491262928478,92.34980011,11.078,39.5977022977023,81.4784235345083,0.128749531818761,..,65.9325413308964
Bahrain,BHR,..,27147.8083882286,..,78.083,-0.60631938514085,100,1.548,1904.25949367089,100,2.16102845934147,..,153.799316485108
Bangladesh,BGD,..,2482.84917843357,76.3600006103516,71.103,5.54565430773473,38.91744466,5.457,1287.99918568026,31.3992156886061,0.814977993693211,..,27.7240047036631
Barbados,BRB,..,21079.6145271791,..,76.58,..,69.4756012,11.015,656.155813953488,59.3220365433819,0.159263661079578,96.8052520751953,..
Belarus,BLR,..,7489.71894713888,..,72.0714634146342,9.46028389623105,86.88841196,3.9,45.8368317319537,78.131086803694,-0.82823272086807,90.814826965332,136.014167877476
Belgium,BEL,26.6,51658.238294958,..,81.790243902439,2.44024851144084,92.78867618,6.248,379.949990161999,87.4305564090635,0.411601996532257,95.2352981567383,177.381892440073
Belize,BLZ,..,6142.98930557031,..,70.917,3.2356365923707,70.65370178,10.302,17.3321350284963,42.3910809205294,1.1534704907648,..,98.9824369429997
Benin,BEN,34.4,1318.65158075198,43.8300018310547,59.61,1.73353962694035,28.20470047,1.833,118.955454061724,50.1961807561354,2.59230167510348,..,48.0548608324409
Bermuda,BMU,..,112765.08167306,..,81.745,..,..,..,1197.18518518519,100,0.412307799470137,..,71.4081698076429
Bhutan,BTN,..,3570.61257980872,..,72.448,7.3468144053353,85.63688389,4.803,20.3314630309386,40.3075199874379,0.703488233671584,..,77.5824482709826
Bolivia,BOL,40.9,4010.76053686204,..,61.427,0.737383721452274,65.9773785,5.089,11.0194405981723,70.3450412826165,1.01931284088344,95.7545166015625,47.6670843158984
Bosnia and Herzegovina,BIH,30.3,7295.34378682258,..,74.567,1.98163900587622,75.67620138,14.897,63.37708984375,50.4899479477034,-1.66384860150923,97.573371887207,96.7391144408744
Botswana,BWA,..,7807.88794570471,..,63.303,7.24097765588442,54.70069885,23.106,4.23736347114146,66.5182767068255,1.49130106425067,..,88.7587495865805
Brazil,BRA,52.9,7972.53696080695,94.7726170886975,73.038,8.30165975585673,80.68989314,13.158,25.0714027283582,87.1360781715439,0.425360907216456,94.9770431518555,37.6563307592575
British Virgin Islands,VGB,..,..,..,75.297,..,..,..,252.06,53.972618684518,1.79872484022046,..,..
Brunei Darussalam,BRN,..,31006.9636289785,..,74.869,1.73341388450593,97.62879944,4.905,85.715559772296,74.7667316936175,0.96027430523198,..,147.123112375318
Bulgaria,BGR,39,12966.1457543396,..,71.2121951219512,3.29774435299506,75.27144583,5.166,59.9419767870302,73.346765618041,-0.664652622488209,94.1771926879883,121.214088263823
